Instrument,ISIN,Mnemonic
FIRST GRAPHITE LTD,AU000000FGR3,M11
FLIGHT CENTRE TRAVEL GRP,AU000000FLT9,FLI
FORTESCUE METALS GRP LTD.,AU000000FMG4,FVJ
FOCUS MINERALS LTD,AU000000FML4,FZA
FRONTIER RESOURCES LTD,AU000000FNT5,TG5
FACTOR THERAPEUT.,AU000000FTT2,1TT
FAIRFAX MEDIA LTD.,AU000000FXJ5,FXH
FLEXIGROUP LTD,AU000000FXL1,F5L
FITZROY RIVER CORP.LTD,AU000000FZR3,KIO
GLOBE METALS + MINING LTD,AU000000GBE0,G4U
GINDALBIE METALS LTD.,AU000000GBG5,GHL
GLOBAL PETROLEUM LTD.,AU000000GBP6,GLK
GOCONNECT LTD.,AU000000GCN9,GCK
GOLDEN CROSS RES,AU000000GCR0,GCL
GASCOYNE RESOURCES LTD,AU000000GCY6,6G4
GONDWANA RES,AU000000GDA4,GK8
G8 EDUCATION LTD,AU000000GEM7,3EAG
GREENEARTH ENERGY LTD,AU000000GER6,3UK
GREENLAND MINERALS+ENERGY,AU000000GGG4,G7P
GI DYNAMICS INC. CDIS1/50,AU000000GID7,2GD
GLADIATOR RES LTD,AU000000GLA7,G3B
GALILEE ENERGY LTD,AU000000GLL4,EA9
GENWORTH MORTG.INS.AUSTR.,AU000000GMA5,0GI
GULF MANGANESE CORP. LTD.,AU000000GMC1,GU6A
GOODMAN GROUP UNITS,AU000000GMG2,MY4
GRAINCORP LTD.,AU000000GNC9,G3C
GR ENGINEERING SVCS,AU000000GNG0,8GR
GO ENERGY GROUP LTD,AU000000GOE3,SO1
GOLD ROAD RESOURCES LTD,AU000000GOR5,E6Q
GREENPOWER ENERGY LTD,AU000000GPP6,3GW
GPT GROUP UNITS,AU000000GPT8,46T
GRANGE RES.,AU000000GRR8,GRR
GREENVALE ENERGY LTD.,AU000000GRV0,56M
GREAT WESTERN EXPLORATION,AU000000GTE2,W5C
GENETIC TEC.,AU000000GTG7,DU8
GWA GROUP LTD.,AU000000GWA4,GWA
GWR GROUP LTD,AU000000GWR8,UK4
GALAXY RESOURCES LTD,AU000000GXY2,LK9
HARANGA RESOURCES LTD,AU000000HAR2,07R
HASTINGS TECHNOLOGY M.LTD,AU000000HAS0,5AM
HAVILAH RESOURCES LTD.,AU000000HAV4,FWL
HILL END GOLD LTD,AU000000HEG7,H7K
HIGHFIELD RESOURCES LTD,AU000000HFR1,23H
HENDERSON GROUP PLC CDIS,AU000000HGG2,HDJ
HILLGROVE RESOURCES LTD.,AU000000HGO6,HIN
HELLOWORLD LTD,AU000000HLO6,ID9
HAMMER METALS,AU000000HMX5,6HM
HANNANS LTD.,AU000000HNR5,HR9
HAWKLEY OIL + GAS LTD,AU000000HOG6,I7C
HORSESHOE METALS LTD,AU000000HOR3,6HS
HERON RES LTD,AU000000HRR6,HR7
HEALTHSCOPE LTD,AU000000HSO1,2H1
HUON AQUACULTURE GROUP,AU000000HUO7,3HA
HARVEY NORMAN HLDGS,AU000000HVN7,HNN
HEXAGON RESOURCES LTD,AU000000HXG7,F93
HORIZON OIL LTD.,AU000000HZN8,HOJ
HAZER GROUP LTD DEF.,AU000000HZR9,2H8
INS.AUST.GRP,AU000000IAG3,NRM
INTREPID MINES LTD,AU000000IAU4,HLS
ISENTRIC LTD,AU000000ICU0,O5M
INDIANA RES LTD,AU000000IDA0,GDM
INDOCHINE MINING LTD,AU000000IDC6,086
INDO MINES LTD,AU000000IDO1,FZ9
INTRA ENERGY CORP. LTD,AU000000IEC4,ARI
IDP EDUCATION LTD.,AU000000IEL5,03F
INDEPENDENCE GROUP NL,AU000000IGO4,IDZ
INTL GOLDFIELDS LTD,AU000000IGS5,COT
IMPRESSION HEALTHC.,AU000000IHL8,IQI
ILUKA RES,AU000000ILU1,ILZ
IMDEX LTD,AU000000IMD5,IDG
IMF BENTHAM LTD.,AU000000IMF0,MXG1
INGHAMS GROUP LTD. O.N.,AU000000ING6,IH1
INTEC LTD.,AU000000INL6,INF
IOT GROUP LTD,AU000000IOT7,27C
IPH LTD,AU000000IPH9,1IP
INCITEC PIVOT,AU000000IPL1,I5P
IRON ROAD LTD,AU000000IRD4,4OV
IRESS LTD,AU000000IRE2,BRF
ISELECT LTD,AU000000ISU6,IZ3
INVESTIGATOR RESOURC. LTD,AU000000IVR6,VOP
INVION LTD,AU000000IVX4,7C8
JB HI-FI LTD,AU000000JBH7,JB3
JAPARA HEALTH CARE LTD,AU000000JHC5,7JH
JAMES HARDIE INDUSTR.CUFS,AU000000JHX1,JHA
